size_category,image_key,difficulty,file_size_kb
large,large_medium_000000033759_20MB.jpg,medium,8832.1
large,large_easy_000000466835_15MB.jpg,easy,14226.29
large,large_easy_000000203639_8MB.jpg,easy,7836.8
large,large_medium_000000460967_15MB.jpg,medium,14759.01
large,large_medium_000000177065_20MB.jpg,medium,19632.28
large,large_medium_000000460967_8MB.jpg,medium,7441.33
large,large_medium_000000269113_20MB.jpg,medium,9133.0
large,large_easy_000000466835_8MB.jpg,easy,7798.28
large,large_hard_000000142238_15MB.jpg,hard,15056.59
large,large_easy_000000094852_20MB.jpg,easy,18744.54
large,large_hard_000000239274_20MB.jpg,hard,18759.84
large,large_medium_000000177065_15MB.jpg,medium,14549.29
large,large_easy_000000447313_8MB.jpg,easy,8080.58
large,large_easy_000000479099_15MB.jpg,easy,15228.41
large,large_hard_000000279145_15MB.jpg,hard,14700.93
large,large_easy_000000447313_20MB.jpg,easy,18784.2
large,large_easy_000000466835_20MB.jpg,easy,8346.5
large,large_medium_000000090891_20MB.jpg,medium,8902.95
large,large_hard_000000023230_15MB.jpg,hard,14805.84
large,large_medium_000000090891_15MB.jpg,medium,15090.78
large,large_medium_000000269113_15MB.jpg,medium,15423.34
large,large_hard_000000023230_20MB.jpg,hard,18781.62
large,large_hard_000000062353_15MB.jpg,hard,15235.44
large,large_hard_000000369812_20MB.jpg,hard,19704.8
large,large_easy_000000525286_8MB.jpg,easy,8110.77
large,large_easy_000000161875_20MB.jpg,easy,8169.49
large,large_easy_000000291664_20MB.jpg,easy,8489.7
large,large_hard_000000369812_8MB.jpg,hard,7528.67
large,large_medium_000000033759_15MB.jpg,medium,15340.38
large,large_hard_000000062353_20MB.jpg,hard,18985.9
large,large_medium_000000177065_8MB.jpg,medium,8033.99
large,large_easy_000000161875_8MB.jpg,easy,7617.82
large,large_easy_000000479099_20MB.jpg,easy,8934.08
large,large_hard_000000239274_8MB.jpg,hard,7633.08
large,large_medium_000000090891_8MB.jpg,medium,8222.63
large,large_easy_000000291664_15MB.jpg,easy,14364.08
large,large_easy_000000447313_15MB.jpg,easy,15306.52
large,large_hard_000000239274_15MB.jpg,hard,14101.48
large,large_hard_000000514376_15MB.jpg,hard,14927.49
large,large_medium_000000269113_8MB.jpg,medium,7793.44
large,large_hard_000000514376_20MB.jpg,hard,18526.2
large,large_hard_000000023230_8MB.jpg,hard,8240.64
large,large_hard_000000062353_8MB.jpg,hard,7533.58
large,large_hard_000000514376_8MB.jpg,hard,8134.25
large,large_easy_000000203639_20MB.jpg,easy,8174.05
large,large_hard_000000369812_15MB.jpg,hard,14788.27
large,large_easy_000000094852_8MB.jpg,easy,8107.59
large,large_hard_000000279145_20MB.jpg,hard,8589.61
large,large_medium_000000460967_20MB.jpg,medium,19695.82
large,large_medium_000000033759_8MB.jpg,medium,8186.74
large,large_easy_000000060347_8MB.jpg,easy,7647.99
large,large_hard_000000142238_20MB.jpg,hard,8332.16
large,large_easy_000000525286_20MB.jpg,easy,19283.3
large,large_easy_000000039670_8MB.jpg,easy,7753.06
large,large_easy_000000039670_15MB.jpg,easy,14258.74
large,large_easy_000000291664_8MB.jpg,easy,7874.04
large,large_easy_000000203639_15MB.jpg,easy,14086.82
large,large_hard_000000142238_8MB.jpg,hard,7375.37
large,large_easy_000000039670_20MB.jpg,easy,19558.92
large,large_easy_000000060347_20MB.jpg,easy,8126.7
large,large_easy_000000094852_15MB.jpg,easy,14371.0
large,large_hard_000000279145_8MB.jpg,hard,7948.42
large,large_easy_000000525286_15MB.jpg,easy,14179.1
large,large_easy_000000479099_8MB.jpg,easy,7601.3
large,large_easy_000000060347_15MB.jpg,easy,14084.2
large,large_easy_000000161875_15MB.jpg,easy,15135.82
medium,000000033759.jpg,medium,369.72
medium,000000278353.jpg,easy,378.58
medium,000000466835.jpg,easy,363.47
medium,000000269113.jpg,medium,370.43
medium,000000177065.jpg,medium,369.2
medium,000000090891.jpg,medium,411.68
medium,000000163682.jpg,easy,680.2
medium,000000514376.jpg,hard,389.34
medium,000000459153.jpg,easy,371.81
medium,000000369812.jpg,hard,418.94
medium,000000475779.jpg,easy,391.33
medium,000000479099.jpg,easy,382.36
medium,000000039670.jpg,easy,413.56
medium,000000291664.jpg,easy,407.33
medium,000000279145.jpg,hard,353.58
medium,000000460967.jpg,medium,400.69
medium,000000142238.jpg,hard,353.74
medium,000000573391.jpg,easy,375.35
medium,000000239274.jpg,hard,363.9
medium,000000062353.jpg,hard,373.94
medium,000000447313.jpg,easy,352.27
medium,000000060347.jpg,easy,365.38
medium,000000094852.jpg,easy,364.79
medium,000000203639.jpg,easy,394.25
medium,000000161875.jpg,easy,361.32
medium,000000023230.jpg,hard,365.92
medium,000000442306.jpg,easy,502.75
medium,000000525286.jpg,easy,378.79
medium,000000338191.jpg,easy,395.3
medium,000000270677.jpg,easy,472.16
small,000000226171.jpg,medium,125.58
small,000000521601.jpg,easy,40.97
small,000000143998.jpg,easy,197.79
small,000000471991.jpg,medium,231.97
small,000000222235.jpg,medium,311.03
small,000000184384.jpg,medium,118.65
small,000000341469.jpg,medium,213.16
small,000000459634.jpg,medium,215.83
small,000000347265.jpg,easy,245.85
small,000000226984.jpg,hard,156.2
small,000000098261.jpg,easy,13.62
small,000000542856.jpg,hard,196.94
small,000000340894.jpg,medium,115.13
small,000000485895.jpg,easy,131.75
small,000000378116.jpg,easy,180.84
small,000000575081.jpg,easy,88.12
small,000000438017.jpg,hard,82.82
small,000000190637.jpg,easy,65.33
small,000000048564.jpg,easy,91.02
small,000000404534.jpg,medium,174.07
small,000000548246.jpg,medium,112.48
small,000000179265.jpg,hard,221.32
small,000000413247.jpg,medium,156.48
small,000000260925.jpg,medium,145.19
small,000000186632.jpg,hard,158.68
